"COMBINATION_ID","CONFIDENCE"
"ADAM17.AKT",0.0323158231
"ADAM17.BCL2_BCL2L1",0.0323158231
"ADAM17.FGFR",0.0323158231
"ADAM17.MAP2K_1",0.058636403
"ADAM17.MTOR_1",0.058636403
"ADAM17.PIK3C",0.0323158231
"ADAM17.PIK3CB_PIK3CD",0.0323158231
"AKT.AKT_1",0.2103826034
"AKT.ATR_4",0.2103826034
"AKT.CSNK2A1_2",0.2103826034
"AKT.Chloroquine",0.2345545645
"AKT.ERBB",0.3554143701
"AKT.FGFR",0.2103826034
"AKT.HDAC_4",0.2345545645
"AKT.PIK3CA_4",0.2103826034
"AKT.PIK3C_2",0.2103826034
"AKT.TNF",0.0323158231
"AKT_1.PIK3C",0.2103826034
"AKT_1.PIK3CB_PIK3CD",0.2103826034
"AKT_1.PIK3C_2",0.2103826034
"AKT_SGK.BCL2_BCL2L1",0.0323158231
"AKT_SGK.FGFR",0.0323158231
"AKT_SGK.MAP2K_1",0.058636403
"AKT_SGK.PIK3C",0.0323158231
"AKT.ALK_IGFR",0.2103826034
"AKT_1.ALK_IGFR",0.2103826034
"ALK_IGFR.MTOR_1",0.3554143701
"ALK_IGFR.PIK3CB_PIK3CD",0.2103826034
"ATR_4.BCL2_BCL2L1",0.2103826034
"ATR_4.MAP2K_1",0.3554143701
"ATR_4.MTOR_1",0.3554143701
"BCL2.CarboTaxol",0.2345545645
"BCL2.IGFR_4",0.2103826034
"BCL2.MAP2K_1",0.3554143701
"BCL2.Oxaliplatin",0.0895227977
"BCL2.Topotecan",0.3554143701
"AKT_1.BCL2_2",0.0323158231
"AKT_1.BCL2_BCL2L1",0.2103826034
"BCL2_BCL2L1.FGFR",0.2103826034
"BCL2_BCL2L1.MAP2K_1",0.3554143701
"BCL2_BCL2L1.PIK3CA_4",0.2103826034
"AKT.BCL2L1",0.09435719
"AKT_1.BCL2L1",0.09435719
"BCL2L1.MTOR_1",0.1620386811
"BCL2L1.PIK3C",0.09435719
"BRAF_M2.MAP2K_1",0.0103820065
"BRAF_M2.MAP2K_3",0.0103820065
"ATR_4.CarboTaxol",0.2345545645
"BCL2L1.CarboTaxol",0.1056374385
"CHEK1.IAP",0.0323158231
"AKT_1.Chloroquine",0.2345545645
"Chloroquine.PIK3C",0.2345545645
